date,SEC,Bitcoin,isPartial
2019-11-11,66,71,False
2019-11-12,53,64,False
2019-11-13,61,65,False
2019-11-14,59,61,False
2019-11-15,58,62,False
2019-11-16,71,64,False
2019-11-17,72,59,False
2019-11-18,60,66,False
2019-11-19,55,71,False
2019-11-20,64,69,False
2019-11-21,59,82,False
2019-11-22,57,99,False
2019-11-23,63,75,False
2019-11-24,67,73,False
2019-11-25,59,100,False
2019-11-26,59,85,False
2019-11-27,56,76,False
2019-11-28,52,74,False
2019-11-29,51,67,False
2019-11-30,72,67,False
2019-12-01,76,63,False
