date,AML,Bitcoin,isPartial
2019-12-22,2,58,False
2019-12-23,3,71,False
2019-12-24,3,63,False
2019-12-25,2,60,False
2019-12-26,3,63,False
2019-12-27,3,62,False
2019-12-28,2,60,False
2019-12-29,2,58,False
2019-12-30,3,60,False
2019-12-31,3,61,False
2020-01-01,2,58,False
2020-01-02,4,67,False
2020-01-03,4,74,False
2020-01-04,2,64,False
2020-01-05,3,66,False
2020-01-06,4,75,False
2020-01-07,4,90,False
2020-01-08,4,100,False
2020-01-09,5,81,False
2020-01-10,4,72,False
2020-01-11,2,72,False
