date,ECB,Bitcoin,isPartial
2020-10-02,2,49,False
2020-10-03,1,44,False
2020-10-04,1,44,False
2020-10-05,2,47,False
2020-10-06,2,50,False
2020-10-07,2,48,False
2020-10-08,2,50,False
2020-10-09,1,54,False
2020-10-10,1,55,False
2020-10-11,1,50,False
2020-10-12,1,58,False
2020-10-13,1,53,False
2020-10-14,1,52,False
2020-10-15,1,55,False
2020-10-16,1,54,False
2020-10-17,1,50,False
2020-10-18,1,47,False
2020-10-19,1,55,False
2020-10-20,1,67,False
2020-10-21,1,100,False
2020-10-22,1,99,False
