date,Japan,Bitcoin,isPartial
2017-03-22,100,17,False
2017-03-23,91,16,False
2017-03-24,91,16,False
2017-03-25,82,16,False
2017-03-26,100,15,False
2017-03-27,92,16,False
2017-03-28,87,13,False
2017-03-29,92,15,False
2017-03-30,92,13,False
2017-03-31,90,13,False
2017-04-01,94,13,False
2017-04-02,86,12,False
2017-04-03,86,15,False
2017-04-04,95,14,False
2017-04-05,89,13,False
2017-04-06,84,15,False
2017-04-07,98,15,False
2017-04-08,93,13,False
2017-04-09,96,12,False
2017-04-10,98,14,False
2017-04-11,89,14,False
