date,US FED,Bitcoin,isPartial
2021-08-17,0,74,False
2021-08-18,0,82,False
2021-08-19,0,75,False
2021-08-20,0,87,False
2021-08-21,0,81,False
2021-08-22,0,81,False
2021-08-23,0,100,False
2021-08-24,0,87,False
2021-08-25,0,82,False
2021-08-26,0,79,False
2021-08-27,0,72,False
2021-08-28,0,69,False
2021-08-29,0,71,False
2021-08-30,0,66,False
2021-08-31,0,68,False
2021-09-01,0,67,False
2021-09-02,0,72,False
2021-09-03,0,74,False
2021-09-04,0,61,False
2021-09-05,0,70,False
2021-09-06,0,83,False
