date,SEC,Bitcoin,isPartial
2019-06-22,18,70,False
2019-06-23,16,50,False
2019-06-24,18,52,False
2019-06-25,17,61,False
2019-06-26,17,100,False
2019-06-27,18,80,False
2019-06-28,17,62,False
2019-06-29,17,45,False
2019-06-30,16,44,False
2019-07-01,18,49,False
2019-07-02,17,55,False
2019-07-03,18,45,False
2019-07-04,18,41,False
2019-07-05,17,40,False
2019-07-06,17,36,False
2019-07-07,16,30,False
2019-07-08,17,40,False
2019-07-09,18,46,False
2019-07-10,18,50,False
2019-07-11,18,43,False
2019-07-12,18,40,False
