date,US Senate,Bitcoin,isPartial
2023-01-14,0,100,False
2023-01-15,0,77,False
2023-01-16,0,85,False
2023-01-17,0,79,False
2023-01-18,1,76,False
2023-01-19,1,68,False
2023-01-20,1,74,False
2023-01-21,0,85,False
2023-01-22,0,72,False
2023-01-23,0,79,False
2023-01-24,1,73,False
2023-01-25,1,69,False
2023-01-26,1,67,False
2023-01-27,1,69,False
2023-01-28,0,56,False
2023-01-29,0,66,False
2023-01-30,0,70,False
2023-01-31,1,66,False
2023-02-01,0,68,False
2023-02-02,1,76,False
2023-02-03,1,67,False
