date,SEC,Bitcoin,isPartial
2019-09-29,63,80,False
2019-09-30,64,100,False
2019-10-01,65,96,False
2019-10-02,63,95,False
2019-10-03,62,89,False
2019-10-04,60,82,False
2019-10-05,78,76,False
2019-10-06,65,82,False
2019-10-07,63,88,False
2019-10-08,66,95,False
2019-10-09,61,92,False
2019-10-10,63,89,False
2019-10-11,64,82,False
2019-10-12,79,74,False
2019-10-13,73,70,False
2019-10-14,71,75,False
2019-10-15,61,74,False
2019-10-16,67,80,False
2019-10-17,62,79,False
2019-10-18,63,78,False
2019-10-19,78,70,False
