date,AMLD,Bitcoin,isPartial
2020-06-30,0,64,False
2020-07-01,0,63,False
2020-07-02,0,64,False
2020-07-03,0,61,False
2020-07-04,0,61,False
2020-07-05,0,62,False
2020-07-06,0,74,False
2020-07-07,0,66,False
2020-07-08,0,71,False
2020-07-09,0,67,False
2020-07-10,0,61,False
2020-07-11,0,59,False
2020-07-12,0,60,False
2020-07-13,0,67,False
2020-07-14,0,71,False
2020-07-15,0,75,False
2020-07-16,0,94,False
2020-07-17,0,71,False
2020-07-18,0,100,False
2020-07-19,0,65,False
2020-07-20,0,61,False
