date,SEC,Bitcoin,isPartial
2019-03-24,42,34,False
2019-03-25,40,37,False
2019-03-26,41,37,False
2019-03-27,40,41,False
2019-03-28,35,38,False
2019-03-29,42,40,False
2019-03-30,41,37,False
2019-03-31,40,33,False
2019-04-01,41,42,False
2019-04-02,37,93,False
2019-04-03,40,100,False
2019-04-04,41,77,False
2019-04-05,38,63,False
2019-04-06,37,49,False
2019-04-07,36,52,False
2019-04-08,37,64,False
2019-04-09,38,57,False
2019-04-10,37,55,False
2019-04-11,38,56,False
2019-04-12,37,55,False
2019-04-13,38,44,False
