date,SEC,Bitcoin,isPartial
2017-02-28,64,45,False
2017-03-01,63,45,False
2017-03-02,69,56,False
2017-03-03,63,69,False
2017-03-04,60,57,False
2017-03-05,73,53,False
2017-03-06,71,49,False
2017-03-07,70,56,False
2017-03-08,77,60,False
2017-03-09,85,52,False
2017-03-10,98,72,False
2017-03-11,100,58,False
2017-03-12,75,46,False
2017-03-13,63,52,False
2017-03-14,60,50,False
2017-03-15,60,43,False
2017-03-16,58,48,False
2017-03-17,54,44,False
2017-03-18,57,60,False
2017-03-19,58,50,False
2017-03-20,61,45,False
